         1331522 function calls (1305160 primitive calls) in 1.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_dynamo/source.py:1(<module>)
      201    0.011    0.000    0.011    0.000 {built-in method torch.randn}
       43    0.000    0.000    0.010    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/multipledispatch/dispatcher.py:147(_)
        3    0.000    0.000    0.010    0.003 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/utils/_config_module.py:164(install_config_module)
        1    0.000    0.000    0.010    0.010 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/polys/numberfields/__init__.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/sympify.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/matrices/dense.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/core/numbers.py:1(<module>)
       89    0.001    0.000    0.010    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/multipledispatch/conflict.py:56(ordering)
     2205    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
       37    0.000    0.000    0.009    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/multipledispatch/core.py:59(_)
       89    0.002    0.000    0.009    0.000 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/sympy/multipledispatch/conflict.py:24(ambiguities)
        1    0.000    0.000    0.009    0.009 /Users/siyuat/607-Project-3-High-Performance-Simulation-Study/venv/lib/python3.14/site-packages/torch/_inductor/utils.py:1(<module>)
     1379    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
